id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,quorum health,31,28,6,96,227,ship,baseline,monotonic-signal
g002,lease drift,81,23,8,67,332,ship,edge,drag-penalty
g003,replica lag,66,23,31,105,256,ship,recovery,confidence-floor
g004,membership churn,62,25,23,37,204,ship,negative,lane-boundary
g005,quorum health,107,64,42,94,417,ship,baseline,monotonic-signal
g006,lease drift,45,51,32,84,225,ship,edge,drag-penalty
g007,replica lag,106,12,28,83,341,ship,recovery,confidence-floor
g008,membership churn,96,30,7,87,414,ship,negative,lane-boundary
g009,quorum health,94,41,19,94,401,ship,baseline,monotonic-signal
g010,lease drift,53,49,26,102,281,ship,edge,drag-penalty
g011,replica lag,80,56,10,24,346,ship,recovery,confidence-floor
g012,membership churn,97,62,25,33,373,ship,negative,lane-boundary
g013,quorum health,109,32,5,42,418,ship,baseline,monotonic-signal
g014,lease drift,74,55,25,51,308,ship,edge,drag-penalty
g015,replica lag,60,69,16,103,373,ship,recovery,confidence-floor
g016,membership churn,57,8,34,90,175,watch,negative,lane-boundary
g017,quorum health,103,50,23,88,428,ship,baseline,monotonic-signal
g018,lease drift,41,39,19,49,193,ship,edge,drag-penalty
g019,replica lag,58,36,40,77,203,ship,recovery,confidence-floor
g020,membership churn,70,72,10,95,419,ship,negative,lane-boundary
g021,quorum health,35,22,38,66,101,hold,baseline,monotonic-signal
g022,lease drift,65,70,33,104,340,ship,edge,drag-penalty
g023,replica lag,84,26,32,36,244,ship,recovery,confidence-floor
g024,membership churn,97,77,33,93,439,ship,negative,lane-boundary
g025,quorum health,107,23,35,83,345,ship,baseline,monotonic-signal
g026,lease drift,71,45,16,82,337,ship,edge,drag-penalty
g027,replica lag,101,24,8,86,413,ship,recovery,confidence-floor
g028,membership churn,75,16,27,93,269,ship,negative,lane-boundary
g029,quorum health,66,49,17,101,346,ship,baseline,monotonic-signal
g030,lease drift,109,33,13,23,377,ship,edge,drag-penalty
g031,replica lag,46,28,34,32,124,hold,recovery,confidence-floor
g032,membership churn,72,28,4,41,301,ship,negative,lane-boundary
g033,quorum health,34,30,11,50,179,watch,baseline,monotonic-signal
g034,lease drift,107,69,37,102,450,ship,edge,drag-penalty
g035,replica lag,103,56,10,89,480,ship,recovery,confidence-floor
g036,membership churn,60,17,32,87,205,ship,negative,lane-boundary
g037,quorum health,86,35,10,48,346,ship,baseline,monotonic-signal
g038,lease drift,59,46,43,76,216,ship,edge,drag-penalty
g039,replica lag,49,54,19,94,292,ship,recovery,confidence-floor
g040,membership churn,47,61,8,65,304,ship,negative,lane-boundary
g041,quorum health,94,67,4,103,507,ship,baseline,monotonic-signal
g042,lease drift,33,37,25,35,133,watch,edge,drag-penalty
g043,replica lag,50,60,37,92,251,ship,recovery,confidence-floor
g044,membership churn,62,74,23,82,347,ship,negative,lane-boundary
g045,quorum health,115,13,18,81,398,ship,baseline,monotonic-signal
g046,lease drift,101,55,17,85,447,ship,edge,drag-penalty
g047,replica lag,98,44,18,92,420,ship,recovery,confidence-floor
g048,membership churn,56,41,20,100,290,ship,negative,lane-boundary
g049,quorum health,82,77,43,22,293,ship,baseline,monotonic-signal
g050,lease drift,99,27,35,31,277,ship,edge,drag-penalty
g051,replica lag,111,75,12,40,487,ship,recovery,confidence-floor
g052,membership churn,76,31,44,49,207,ship,negative,lane-boundary
g053,quorum health,106,12,40,101,323,ship,baseline,monotonic-signal
g054,lease drift,37,28,19,88,198,ship,edge,drag-penalty
g055,replica lag,50,50,31,86,243,ship,recovery,confidence-floor
g056,membership churn,60,29,38,47,171,watch,negative,lane-boundary
g057,quorum health,112,21,22,75,387,ship,baseline,monotonic-signal
g058,lease drift,54,54,37,93,252,ship,edge,drag-penalty
g059,replica lag,116,38,17,64,437,ship,recovery,confidence-floor
g060,membership churn,107,33,37,102,378,ship,negative,lane-boundary
g061,quorum health,62,33,28,34,202,ship,baseline,monotonic-signal
g062,lease drift,87,35,4,91,410,ship,edge,drag-penalty
g063,replica lag,113,74,35,81,463,ship,recovery,confidence-floor
g064,membership churn,75,61,31,80,334,ship,negative,lane-boundary
g065,quorum health,60,22,10,84,278,ship,baseline,monotonic-signal
g066,lease drift,56,40,22,91,273,ship,edge,drag-penalty
g067,replica lag,101,51,8,99,480,ship,recovery,confidence-floor
g068,membership churn,39,59,45,21,121,hold,negative,lane-boundary
g069,quorum health,100,66,44,30,330,ship,baseline,monotonic-signal
g070,lease drift,90,72,45,39,318,ship,edge,drag-penalty
g071,replica lag,88,42,5,48,381,ship,recovery,confidence-floor
g072,membership churn,47,65,28,100,287,ship,negative,lane-boundary
g073,quorum health,74,9,20,87,267,ship,baseline,monotonic-signal
g074,lease drift,91,18,39,85,277,ship,edge,drag-penalty
g075,replica lag,103,60,29,46,388,ship,recovery,confidence-floor
g076,membership churn,68,49,25,74,301,ship,negative,lane-boundary
g077,quorum health,54,46,4,92,334,ship,baseline,monotonic-signal
g078,lease drift,51,12,16,63,192,ship,edge,drag-penalty
g079,replica lag,97,32,23,101,387,ship,recovery,confidence-floor
